avg_deg_setting	dist_name	r_concentration	n_seed	p0	p1	p2	p3	p4plus	active_r_ratio	mean_dk_active	max_dk	direct_K	tia_K	look1_K	look2_K	direct_T	tia_T	look1_T	look2_T
4	p3_100	top02	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.02030	28.77574	30.00000	159.0000	159.0000	159.0000	16.6667	0.02000	0.02000	0.02000	0.17900
4	p3_100	randtop02	3	0.00000	0.00000	0.00000	1.00000	0.00000	0.02030	28.77574	30.00000	159.0000	159.0000	159.0000	15.6667	0.02000	0.02000	0.02000	0.18000
4	p4_100	spread	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.71790	1.00000	1.00000	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	random	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.51259	1.39298	4.33333	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	low20	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.19819	3.61844	4.66667	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	top20	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.19819	3.61844	4.66667	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	randtop20	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.19819	3.61844	4.66667	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	low05	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.04994	14.38400	16.00000	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	top05	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.04994	14.38400	16.00000	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	randtop05	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.04994	14.38400	16.00000	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	low02	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.02030	35.34069	36.00000	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	top02	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.02030	35.34069	36.00000	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p4_100	randtop02	3	0.06923	0.00222	0.00171	0.00000	0.92684	0.02030	35.34069	36.00000	159.0000	147.0000	147.0000	147.0000	0.02000	0.03200	0.03200	0.03200
4	p0_20_p1_40_p2_40	spread	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.23415	1.00000	1.00000	159.0000	126.6667	126.6667	126.6667	0.02000	0.05300	0.05300	0.05300
4	p0_20_p1_40_p2_40	random	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.20867	1.11804	2.66667	159.0000	126.3333	126.3333	126.3333	0.02000	0.05367	0.05367	0.05367
4	p0_20_p1_40_p2_40	low20	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.17330	1.34716	2.00000	159.0000	126.3333	126.3333	126.3333	0.02000	0.05367	0.05367	0.05367
4	p0_20_p1_40_p2_40	top20	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.17330	1.34716	2.00000	159.0000	127.3333	127.0000	127.0000	0.02000	0.05167	0.05300	0.05300
4	p0_20_p1_40_p2_40	randtop20	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.17330	1.34716	2.00000	159.0000	126.3333	126.3333	126.3333	0.02000	0.05367	0.05367	0.05367
4	p0_20_p1_40_p2_40	low05	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.04994	4.69048	5.00000	159.0000	103.6667	103.6667	103.6667	0.02000	0.08767	0.08767	0.08767
4	p0_20_p1_40_p2_40	top05	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.04994	4.69048	5.00000	159.0000	41.0000	41.0000	41.0000	0.02000	0.17900	0.17900	0.17900
4	p0_20_p1_40_p2_40	randtop05	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.04994	4.69048	5.00000	159.0000	60.0000	60.0000	60.0000	0.02000	0.15200	0.15200	0.15200
4	p0_20_p1_40_p2_40	low02	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.02030	11.52206	12.00000	159.0000	62.6667	62.6667	62.6667	0.02000	0.12767	0.12767	0.12767
4	p0_20_p1_40_p2_40	top02	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.02030	11.52206	12.00000	159.0000	16.6667	16.6667	16.6667	0.02000	0.17900	0.17900	0.17900
