family	dist_name	r_concentration	n	direct_K	tia_K	look1_K	look2_K	tia_gain	look1_extra	look2_extra	mean_dk_active	max_dk	look2_T_ratio
er	p3_100	spread	6	91.50	91.50	91.50	91.50	0.00	0.00	0.00	1.00	1.00	0.02
er	p3_100	random	6	91.50	91.50	91.50	91.50	0.00	0.00	0.00	1.16	3.17	0.02
er	p3_100	top20	6	91.50	91.50	91.50	91.50	0.00	0.00	0.00	1.85	2.50	0.02
er	p3_100	top05	6	91.50	91.50	91.50	46.67	0.00	0.00	44.83	6.35	7.17	0.10
er	p3_100	low20	6	91.50	91.50	91.50	91.50	0.00	0.00	0.00	1.85	2.50	0.02
er	p3_100	low05	6	91.50	91.50	91.50	48.17	0.00	0.00	43.33	6.35	7.17	0.09
er	p3_100	randtop20	6	91.50	91.50	91.50	91.50	0.00	0.00	0.00	1.85	2.50	0.02
er	p3_100	randtop05	6	91.50	91.50	91.50	46.17	0.00	0.00	45.33	6.35	7.17	0.10
er	p4_100	spread	6	91.50	89.83	89.83	89.83	1.67	0.00	0.00	1.00	1.00	0.02
er	p4_100	random	6	91.50	89.83	89.83	89.83	1.67	0.00	0.00	1.22	3.50	0.02
er	p4_100	top20	6	91.50	89.83	89.83	89.83	1.67	0.00	0.00	2.20	3.00	0.02
er	p4_100	top05	6	91.50	89.83	89.83	89.83	1.67	0.00	0.00	8.29	9.33	0.02
er	p4_100	low20	6	91.50	89.83	89.83	89.83	1.67	0.00	0.00	2.20	3.00	0.02
er	p4_100	low05	6	91.50	89.83	89.83	89.83	1.67	0.00	0.00	8.29	9.33	0.02
er	p4_100	randtop20	6	91.50	89.83	89.83	89.83	1.67	0.00	0.00	2.20	3.00	0.02
er	p4_100	randtop05	6	91.50	89.83	89.83	89.83	1.67	0.00	0.00	8.29	9.33	0.02
er	p0_50_p1_50	spread	6	91.50	45.67	45.67	45.67	45.83	0.00	0.00	1.00	1.00	0.07
er	p0_50_p1_50	random	6	91.50	45.17	45.17	45.17	46.33	0.00	0.00	1.03	1.67	0.07
er	p0_50_p1_50	top20	6	91.50	45.83	45.83	45.83	45.67	0.00	0.00	1.00	1.00	0.07
er	p0_50_p1_50	top05	6	91.50	45.33	45.33	45.33	46.17	0.00	0.00	1.24	1.50	0.07
er	p0_50_p1_50	low20	6	91.50	45.67	45.67	45.67	45.83	0.00	0.00	1.00	1.00	0.07
er	p0_50_p1_50	low05	6	91.50	44.83	44.83	44.83	46.67	0.00	0.00	1.24	1.50	0.07
er	p0_50_p1_50	randtop20	6	91.50	45.67	45.67	45.67	45.83	0.00	0.00	1.00	1.00	0.07
er	p0_50_p1_50	randtop05	6	91.50	45.33	45.33	45.33	46.17	0.00	0.00	1.24	1.50	0.07
er	p0_20_p1_40_p2_40	spread	6	91.50	73.17	73.17	73.17	18.33	0.00	0.00	1.00	1.00	0.04
er	p0_20_p1_40_p2_40	random	6	91.50	72.67	72.67	72.67	18.83	0.00	0.00	1.06	2.17	0.04
er	p0_20_p1_40_p2_40	top20	6	91.50	73.33	73.33	73.33	18.17	0.00	0.00	1.24	1.67	0.04
er	p0_20_p1_40_p2_40	top05	6	91.50	51.00	49.33	49.33	40.50	1.67	0.00	2.55	3.33	0.08
er	p0_20_p1_40_p2_40	low20	6	91.50	73.17	73.17	73.17	18.33	0.00	0.00	1.24	1.67	0.04
er	p0_20_p1_40_p2_40	low05	6	91.50	50.67	50.33	50.33	40.83	0.33	0.00	2.55	3.33	0.08
er	p0_20_p1_40_p2_40	randtop20	6	91.50	73.33	73.33	73.33	18.17	0.00	0.00	1.24	1.67	0.04
er	p0_20_p1_40_p2_40	randtop05	6	91.50	51.00	49.50	49.50	40.50	1.50	0.00	2.55	3.33	0.08
er	p1_33_p2_34_p3_33	spread	6	91.50	91.00	91.00	91.00	0.50	0.00	0.00	1.00	1.00	0.02
er	p1_33_p2_34_p3_33	random	6	91.50	90.33	90.33	90.33	1.17	0.00	0.00	1.11	2.67	0.02
er	p1_33_p2_34_p3_33	top20	6	91.50	91.00	91.00	91.00	0.50	0.00	0.00	1.51	2.17	0.02
er	p1_33_p2_34_p3_33	top05	6	91.50	72.83	49.67	49.33	18.67	23.17	0.33	4.20	4.83	0.09
er	p1_33_p2_34_p3_33	low20	6	91.50	90.67	90.67	90.67	0.83	0.00	0.00	1.51	2.17	0.02
er	p1_33_p2_34_p3_33	low05	6	91.50	72.33	48.83	48.83	19.17	23.50	0.00	4.20	4.83	0.09
ws	p1_33_p2_34_p3_33	random	6	37.50	37.17	37.17	37.17	0.33	0.00	0.00	1.04	1.83	0.02
ws	p1_33_p2_34_p3_33	top20	6	37.50	37.17	37.17	37.17	0.33	0.00	0.00	1.08	1.50	0.02
ws	p1_33_p2_34_p3_33	top05	6	37.50	37.17	37.17	35.67	0.33	0.00	1.50	1.76	2.67	0.02
ws	p1_33_p2_34_p3_33	low20	6	37.50	37.17	37.17	37.17	0.33	0.00	0.00	1.08	1.50	0.02
ws	p1_33_p2_34_p3_33	low05	6	37.50	37.17	37.17	35.67	0.33	0.00	1.50	1.76	2.67	0.02
ws	p1_33_p2_34_p3_33	randtop20	6	37.50	37.17	37.17	37.17	0.33	0.00	0.00	1.08	1.50	0.02
ws	p1_33_p2_34_p3_33	randtop05	6	37.50	37.17	37.17	35.83	0.33	0.00	1.33	1.76	2.67	0.02
ws	p2_50_p3_50	spread	6	37.50	35.83	35.83	35.83	1.67	0.00	0.00	1.00	1.00	0.02
ws	p2_50_p3_50	random	6	37.50	35.83	35.83	35.83	1.67	0.00	0.00	1.04	2.00	0.02
ws	p2_50_p3_50	top20	6	37.50	35.83	35.83	35.83	1.67	0.00	0.00	1.11	1.50	0.02
ws	p2_50_p3_50	top05	6	37.50	35.83	35.83	34.50	1.67	0.00	1.33	2.03	3.00	0.03
ws	p2_50_p3_50	low20	6	37.50	35.83	35.83	35.83	1.67	0.00	0.00	1.11	1.50	0.02
ws	p2_50_p3_50	low05	6	37.50	35.83	35.83	34.33	1.67	0.00	1.50	2.03	3.00	0.03
ws	p2_50_p3_50	randtop20	6	37.50	35.83	35.83	35.83	1.67	0.00	0.00	1.11	1.50	0.02
ws	p2_50_p3_50	randtop05	6	37.50	35.83	35.83	35.00	1.67	0.00	0.83	2.03	3.00	0.02
ws	p1_100	spread	6	37.50	37.50	37.50	37.50	0.00	0.00	0.00	1.00	1.00	0.02
ws	p1_100	random	6	37.50	36.83	36.83	36.83	0.67	0.00	0.00	1.02	1.67	0.02
ws	p1_100	top20	6	37.50	37.50	37.50	37.50	0.00	0.00	0.00	1.00	1.00	0.02
ws	p1_100	top05	6	37.50	37.17	37.17	37.17	0.33	0.00	0.00	1.11	1.33	0.02
ws	p1_100	low20	6	37.50	37.50	37.50	37.50	0.00	0.00	0.00	1.00	1.00	0.02
ws	p1_100	low05	6	37.50	37.17	37.17	37.17	0.33	0.00	0.00	1.11	1.33	0.02
ws	p1_100	randtop20	6	37.50	37.50	37.50	37.50	0.00	0.00	0.00	1.00	1.00	0.02
ws	p1_100	randtop05	6	37.50	37.17	37.17	37.17	0.33	0.00	0.00	1.11	1.33	0.02
ws	p2_100	spread	6	37.50	37.17	37.17	37.17	0.33	0.00	0.00	1.00	1.00	0.02
ws	p2_100	random	6	37.50	37.17	37.17	37.17	0.33	0.00	0.00	1.04	1.83	0.02
ws	p2_100	top20	6	37.50	37.17	37.17	37.17	0.33	0.00	0.00	1.00	1.00	0.02
ws	p2_100	top05	6	37.50	37.17	35.83	35.83	0.33	1.33	0.00	1.74	2.50	0.02
ws	p2_100	low20	6	37.50	37.17	37.17	37.17	0.33	0.00	0.00	1.00	1.00	0.02
ws	p2_100	low05	6	37.50	37.17	35.67	35.67	0.33	1.50	0.00	1.74	2.50	0.02
ws	p2_100	randtop20	6	37.50	37.17	37.17	37.17	0.33	0.00	0.00	1.00	1.00	0.02
ws	p2_100	randtop05	6	37.50	37.17	35.83	35.83	0.33	1.33	0.00	1.74	2.50	0.02
ws	p3_100	spread	6	37.50	34.33	34.33	34.33	3.17	0.00	0.00	1.00	1.00	0.02
ws	p3_100	random	6	37.50	34.33	34.33	34.33	3.17	0.00	0.00	1.04	2.00	0.02
ws	p3_100	top20	6	37.50	34.33	34.33	34.33	3.17	0.00	0.00	1.21	1.50	0.02
ws	p3_100	top05	6	37.50	34.33	34.33	33.17	3.17	0.00	1.17	2.29	3.33	0.03
ws	p3_100	low20	6	37.50	34.33	34.33	34.33	3.17	0.00	0.00	1.21	1.50	0.02
